scatID,wolfID,sex,e.c.,e.m.,t.m.d.,pack,site,indiv.site,inf.switch
38,1005F,F,P,N,N,1005F Group,7,A,NA
86,1005F,F,N,N,P,1005F Group,15,B,yes
26,1049F,F,N,N,N,Crevice Lake,4,A,NA
27,1109F,F,P,N,N,Junction Butte,5,A,NA
65,1155M,M,N,N,N,Wapiti Lake,11,A,NA
61,1156M,M,N,N,N,Wapiti Lake,11,A,NA
125,1211F,F,N,N,N,Junction Butte,20,A,NA
103,1228F,F,N,N,N,Junction Butte,19,A,NA
114,1228F,F,N,N,N,Junction Butte,19,A,no
145,1228F,F,N,N,N,Junction Butte,22,B,no
110,1229F,F,N,N,N,Junction Butte,19,A,NA
43,907F,F,N,N,N,Junction Butte,8,A,NA
97,907F,F,N,N,N,Junction Butte,18,B,no
92,969F,F,P,N,N,Junction Butte,16,A,NA
74,996M,M,P,N,N,Junction Butte,12,A,NA
84,996M,M,P,N,N,Junction Butte,14,B,no
96,996M,M,P,N,N,Junction Butte,17,B,no
4,wolf1,M,N,N,N,8 Mile,1,A,NA
54,wolf1,M,N,N,N,8 Mile,9,B,no
50,wolf10,M,P,N,N,8 Mile,9,A,NA
52,wolf11,F,P,N,N,8 Mile,9,A,NA
58,wolf12,M,N,N,N,1005F Group/Crevice Lake,10,A,NA
60,wolf13,F,P,N,N,Wapiti Lake,11,A,NA
62,wolf13,F,P,N,N,Wapiti Lake,11,A,no
64,wolf13,F,P,N,N,Wapiti Lake,11,A,no
66,wolf14,M,P,N,N,Wapiti Lake,11,A,NA
67,wolf15,M,N,N,N,Wapiti Lake,11,A,NA
76,wolf16,F,N,N,N,Junction Butte,13,A,NA
105,wolf17,M,N,N,N,Junction Butte,19,A,NA
113,wolf17,M,N,N,N,Junction Butte,19,A,no
115,wolf17,M,N,N,N,Junction Butte,19,A,no
133,wolf18,M,N,N,N,Junction Butte,21,A,NA
183,wolf19,M,P,N,N,Junction Butte,23,A,NA
6,wolf2,M,N,N,N,8 Mile,1,A,NA
48,wolf2,M,N,P,N,8 Mile,9,B,yes
188,wolf20,F,N,N,N,8 Mile,24,A,NA
192,wolf21,F,N,N,N,8 Mile,25,A,NA
198,wolf21,F,N,N,N,8 Mile,25,A,no
194,wolf22,F,N,N,N,8 Mile,25,A,NA
195,wolf22,F,N,N,N,8 Mile,25,A,no
197,wolf23,NA,N,N,N,8 Mile,25,A,NA
7,wolf3,M,N,N,N,8 Mile,1,A,NA
12,wolf4,M,P,N,N,8 Mile,1,A,NA
13,wolf5,M,N,N,N,8 Mile,1,A,NA
19,wolf6,F,N,N,N,Junction Butte,2,A,NA
22,wolf7,F,N,N,N,Junction Butte,3,A,NA
41,wolf7,F,N,N,P,Junction Butte,8,B,yes
36,wolf8,F,N,N,N,Unknown,6,A,NA
45,wolf9,M,P,N,N,8 Mile,9,A,NA
