scat_id,geno_success,time_searched,time_elapsed,time_created,cover,month_created,month_searched,season_searched,season_created,high_temp_mean,high_temp_min,high_temp_max,low_temp_mean,low_temp_min,low_temp_max,humidity_mean,precip_mean,total_precip,precip_max,collection_period,group,days_elapsed
1,0,9/3/2018,168,8/27/2018,0,August,September,Summer,Summer,70.371,52.05,79.18,33.788,30,41.47,61.028,0.065,0.52,0.47,summer,1,7
2,0,9/3/2018,168,8/27/2018,0,August,September,Summer,Summer,70.371,52.05,79.18,33.788,30,41.47,61.028,0.065,0.52,0.47,summer,1,7
3,0,9/3/2018,168,8/27/2018,0,August,September,Summer,Summer,70.371,52.05,79.18,33.788,30,41.47,61.028,0.065,0.52,0.47,summer,1,7
4,1,9/3/2018,168,8/27/2018,0,August,September,Summer,Summer,70.371,52.05,79.18,33.788,30,41.47,61.028,0.065,0.52,0.47,summer,1,7
5,0,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
6,1,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
7,1,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
8,0,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
9,0,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
10,0,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
11,0,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
12,1,9/3/2018,228,8/25/2018,1,August,September,Summer,Summer,70.725,52.05,79.18,34.544,30,42.19,58.134,0.052,0.52,0.47,summer,2,9
13,1,9/3/2018,155,8/28/2018,0,August,September,Summer,Summer,72.989,62.6,79.18,32.69,30,36.39,56.876,0.007,0.05,0.01,summer,3,6
14,0,9/3/2018,72,8/31/2018,0,August,September,Summer,Summer,74.455,70.32,79.18,33.812,31.64,36.39,53.285,0.005,0.02,0.01,summer,4,3
15,0,9/6/2018,743,8/6/2018,0,August,September,Summer,Summer,77.452,52.05,95.04,37.419,30,47.77,55.699,0.075,2.4,1.46,summer,5,31
16,0,9/6/2018,850,8/2/2018,1,August,September,Summer,Summer,77.225,52.05,95.04,37.674,30,47.77,56.76,0.078,2.81,1.46,summer,5,35
