"scatID","geno","cover","period","days_elapsed","month_created","high_temp_mean","total_precip","site","easting","northing"
"1",0,"0","summer",7,"August",70.371,0.52,"1",516557,4974017
"2",0,"0","summer",7,"August",70.371,0.52,"1",516557,4974017
"3",0,"0","summer",7,"August",70.371,0.52,"1",516557,4974017
"4",1,"0","summer",7,"August",70.371,0.52,"1",516557,4974017
"5",0,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"6",1,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"7",1,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"8",0,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"9",0,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"10",0,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"11",0,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"12",1,"1","summer",9,"August",70.725,0.52,"2",516288,4972476
"13",1,"0","summer",6,"August",72.989,0.05,"3",516724,4974023
"14",0,"0","summer",3,"August",74.455,0.02,"4",516510,4973874
"15",0,"0","summer",31,"August",77.452,2.4,"5",550454,4975875
"16",0,"1","summer",35,"August",77.225,2.81,"5",550254,4976129
"17",0,"1","summer",7,"September",71.97,0.02,"6",545321,4976646
"19",1,"0","winter",12,"November",30.716,0.26,"8",557648,4973575
"20",0,"0","winter",12,"November",30.716,0.26,"8",557648,4973575
"21",0,"0","winter",6,"November",33.179,0.03,"9",567821,4970626
"22",1,"0","winter",6,"November",33.179,0.03,"9",567821,4970626
"23",0,"0","winter",7,"November",33.479,0.12,"10",558617,4971224
"24",0,"0","winter",7,"November",33.479,0.12,"10",558617,4971224
"25",0,"0","winter",7,"November",33.479,0.12,"10",558617,4971224
"26",1,"1","winter",4,"November",31.804,0.03,"11",538745,4983585
"27",1,"0","winter",6,"November",33.299,0.11,"12",558467,4971199
"28",0,"0","winter",2,"November",33.147,0.05,"13",530777,4977568
"29",0,"0","winter",2,"November",33.147,0.05,"13",530777,4977568
"30",0,"0","winter",2,"November",33.147,0.05,"13",530777,4977568
"34",0,"0","winter",8,"November",33.196,0.4,"14",533691,4986091
"37",0,"1","winter",6,"November",23.354,0.18,"17",550557,4974212
"38",1,"1","winter",13,"November",26.239,0.25,"18",531154,4988920
"41",1,"0","winter",4,"December",26.134,0.01,"20",552901,4974760
"43",1,"0","winter",4,"December",26.134,0.01,"20",552901,4974760
"44",0,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"45",1,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"46",0,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"48",1,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"49",0,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"50",1,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"51",0,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
